"","Entity","Date","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","Code","PerCapita.Death","PerCapita.Infection","Death.Rate"
"47","Africa",2020-04-13,789,14522,1340598113,"",5.88543272102905e-07,1.08324783238002e-05,0.0543313593168985
"48","Africa",2020-04-05,379,8440,1340598113,"",2.82709632607099e-07,6.29569735937708e-06,0.0449052132701422
"49","Africa",2020-04-03,256,6883,1340598113,"",1.90959540758357e-07,5.13427546499911e-06,0.0371930844108674
"50","Africa",2020-03-31,166,5137,1340598113,"",1.23825327210497e-07,3.83187172217062e-06,0.032314580494452
"51","Africa",2020-04-06,434,9175,1340598113,"",3.23736096441902e-07,6.84396010335127e-06,0.0473024523160763
"52","Africa",2020-04-20,1120,22303,1340598113,"",8.35447990817812e-07,1.66366040528658e-05,0.0502174595345918
"53","Africa",2020-03-30,143,4629,1340598113,"",1.06668805970488e-07,3.45293638347826e-06,0.0308922013393822
"54","Africa",2020-04-02,224,6248,1340598113,"",1.67089598163562e-07,4.66060629163365e-06,0.0358514724711908
"55","Africa",2020-03-25,64,2203,1340598113,"",4.77398851895893e-08,1.64329636051039e-06,0.0290512936904222
"56","Africa",2020-04-21,1155,23267,1340598113,"",8.61555740530869e-07,1.7355686073534e-05,0.0496411226200198
"57","Africa",2020-04-01,189,5626,1340598113,"",1.40981848450506e-07,4.19663428244733e-06,0.0335940277284038
"58","Africa",2020-04-19,1057,21057,1340598113,"",7.8845404133431e-07,1.5707168163081e-05,0.0501970841050482
"59","Africa",2020-04-07,477,9802,1340598113,"",3.55811331803657e-07,7.31166179106803e-06,0.0486635380534585
"60","Africa",2020-03-26,72,2690,1340598113,"",5.37073708382879e-08,2.00656704937492e-06,0.0267657992565056
"61","Africa",2020-04-17,965,18329,1340598113,"",7.19827956374275e-07,1.36722555568747e-05,0.0526488079000491
"62","Africa",2020-04-22,1189,24617,1340598113,"",8.86917554537838e-07,1.83626992767519e-05,0.0482999553154324
"63","Africa",2020-03-29,124,4124,1340598113,"",9.24960275548292e-08,3.07623885190416e-06,0.0300678952473327
"64","Africa",2020-03-27,84,3278,1340598113,"",6.26585993113359e-08,2.44517724455427e-06,0.0256253813300793
"65","Africa",2020-03-28,103,3804,1340598113,"",7.68313777269952e-08,2.83753942595621e-06,0.0270767613038906
"66","Africa",2020-04-18,1016,19897,1340598113,"",7.57870677384729e-07,1.48418827440196e-05,0.0510629743177363
"67","Albania",2020-04-17,26,518,2877800,"ALB",9.03467926888595e-06,0.000179998610049343,0.0501930501930502
"68","Albania",2020-04-16,25,494,2877800,"ALB",8.68719160469803e-06,0.000171658906108833,0.0506072874493927
"69","Albania",2020-03-26,5,146,2877800,"ALB",1.73743832093961e-06,5.07331989714365e-05,0.0342465753424658
"70","Albania",2020-04-12,23,433,2877800,"ALB",7.99221627632219e-06,0.00015046215859337,0.0531177829099307
"71","Albania",2020-03-25,5,123,2877800,"ALB",1.73743832093961e-06,4.27409826951143e-05,0.040650406504065
"72","Albania",2020-03-31,12,223,2877800,"ALB",4.16985197025506e-06,7.74897491139065e-05,0.0538116591928251
"73","Albania",2020-04-13,23,446,2877800,"ALB",7.99221627632219e-06,0.000154979498227813,0.0515695067264574
"74","Albania",2020-03-24,4,100,2877800,"ALB",1.38995065675169e-06,3.47487664187921e-05,0.04
"75","Albania",2020-04-14,23,467,2877800,"ALB",7.99221627632219e-06,0.000162276739175759,0.0492505353319058
"76","Albania",2020-04-22,26,609,2877800,"ALB",9.03467926888595e-06,0.000211619987490444,0.0426929392446634
"77","Albania",2020-04-15,24,475,2877800,"ALB",8.33970394051011e-06,0.000165056640489263,0.0505263157894737
"78","Albania",2020-04-02,15,259,2877800,"ALB",5.21231496281882e-06,8.99993050246716e-05,0.0579150579150579
"79","Albania",2020-04-08,22,383,2877800,"ALB",7.64472861213427e-06,0.000133087775383974,0.0574412532637076
"80","Albania",2020-03-23,2,89,2877800,"ALB",6.94975328375843e-07,3.0926402112725e-05,0.0224719101123595
"81","Albania",2020-04-10,23,409,2877800,"ALB",7.99221627632219e-06,0.00014212245465286,0.0562347188264059
"82","Albania",2020-04-18,26,539,2877800,"ALB",9.03467926888595e-06,0.00018729585099729,0.0482374768089054
"83","Albania",2020-04-01,15,243,2877800,"ALB",5.21231496281882e-06,8.44395023976649e-05,0.0617283950617284
"84","Albania",2020-04-05,19,333,2877800,"ALB",6.6022656195705e-06,0.000115713392174578,0.0570570570570571
"85","Albania",2020-03-30,10,212,2877800,"ALB",3.47487664187921e-06,7.36673848078393e-05,0.0471698113207547
"86","Albania",2020-03-29,10,197,2877800,"ALB",3.47487664187921e-06,6.84550698450205e-05,0.050761421319797
"87","Albania",2020-04-11,23,416,2877800,"ALB",7.99221627632219e-06,0.000144554868302175,0.0552884615384615
"88","Albania",2020-03-28,9,186,2877800,"ALB",3.12738897769129e-06,6.46327055389534e-05,0.0483870967741935
"89","Albania",2020-03-22,2,76,2877800,"ALB",6.94975328375843e-07,2.6409062478282e-05,0.0263157894736842
"90","Albania",2020-03-21,2,70,2877800,"ALB",6.94975328375843e-07,2.43241364931545e-05,0.0285714285714286
"91","Albania",2020-04-03,16,277,2877800,"ALB",5.55980262700674e-06,9.62540829800542e-05,0.0577617328519856
"92","Albania",2020-04-20,26,562,2877800,"ALB",9.03467926888595e-06,0.000195288067273612,0.0462633451957295
"93","Albania",2020-04-04,17,304,2877800,"ALB",5.90729029119466e-06,0.000105636249913128,0.0559210526315789
"94","Albania",2020-03-27,6,174,2877800,"ALB",2.08492598512753e-06,6.04628535686983e-05,0.0344827586206897
"95","Albania",2020-04-21,26,584,2877800,"ALB",9.03467926888595e-06,0.000202932795885746,0.0445205479452055
"96","Albania",2020-04-07,22,377,2877800,"ALB",7.64472861213427e-06,0.000131002849398846,0.0583554376657825
"97","Albania",2020-04-09,22,400,2877800,"ALB",7.64472861213427e-06,0.000138995065675169,0.055
"98","Albania",2020-04-06,21,361,2877800,"ALB",7.29724094794635e-06,0.00012544304677184,0.0581717451523546
"99","Albania",2020-04-19,26,548,2877800,"ALB",9.03467926888595e-06,0.000190423239974981,0.0474452554744526
"100","Algeria",2020-03-29,29,454,43851043,"DZA",6.61329765862126e-07,1.0353231506945e-05,0.0638766519823789
"101","Algeria",2020-03-31,35,584,43851043,"DZA",7.98156613971531e-07,1.33178132159821e-05,0.0599315068493151
"102","Algeria",2020-03-24,17,230,43851043,"DZA",3.87676069643315e-07,5.2450291775272e-06,0.0739130434782609
"103","Algeria",2020-04-01,44,716,43851043,"DZA",1.00339688613564e-06,1.6328003874389e-05,0.0614525139664804
"104","Algeria",2020-04-03,63,986,43851043,"DZA",1.43668190514876e-06,2.24852120393123e-05,0.063894523326572
"105","Algeria",2020-03-27,25,367,43851043,"DZA",5.70111867122522e-07,8.36924220935862e-06,0.0681198910081744
"106","Algeria",2020-03-21,10,102,43851043,"DZA",2.28044746849009e-07,2.32605641785989e-06,0.0980392156862745
"107","Algeria",2020-03-28,26,409,43851043,"DZA",5.92916341807423e-07,9.32703014612446e-06,0.0635696821515892
"108","Algeria",2020-04-09,205,1572,43851043,"DZA",4.67491731040468e-06,3.58486342046642e-05,0.130407124681934
"109","Algeria",2020-04-08,193,1468,43851043,"DZA",4.40126361418587e-06,3.34769688374345e-05,0.131471389645777
"110","Algeria",2020-04-19,367,2535,43851043,"DZA",8.36924220935862e-06,5.78093433262237e-05,0.144773175542406
"111","Algeria",2020-03-26,21,302,43851043,"DZA",4.78893968382919e-07,6.88695135484007e-06,0.0695364238410596
"112","Algeria",2020-04-02,58,847,43851043,"DZA",1.32265953172425e-06,1.9315390058111e-05,0.0684769775678867
"113","Algeria",2020-04-12,275,1825,43851043,"DZA",6.27123053834774e-06,4.16181662999441e-05,0.150684931506849
"114","Algeria",2020-04-11,256,1761,43851043,"DZA",5.83794551933463e-06,4.01586799201105e-05,0.145371947756956
"115","Algeria",2020-04-10,235,1666,43851043,"DZA",5.35905155095171e-06,3.79922548250449e-05,0.141056422569028
