"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"78",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"79",NA,"Afghanistan","AFG",35,1031,38928341,8.99087890747772e-07,2.64845604388844e-05,0.0339476236663434
"80",NA,"Afghanistan","AFG",36,1092,38928341,9.24776116197708e-07,2.80515421913305e-05,0.032967032967033
"81",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"82",NA,"Afghanistan","AFG",30,845,38928341,7.7064676349809e-07,2.17065505051962e-05,0.0355029585798817
"83",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"84",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"85",NA,"Afghanistan","AFG",29,794,38928341,7.44958538048154e-07,2.03964510072494e-05,0.0365239294710327
"86",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"87",NA,"Afghanistan","AFG",1,40,38928341,2.56882254499363e-08,1.02752901799745e-06,0.025
"88",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"89",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"90",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"91",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"92",NA,"Afghanistan","AFG",0,1,38928341,0,2.56882254499363e-08,0
"93",NA,"Afghanistan","AFG",7,299,38928341,1.79817578149554e-07,7.68077940953096e-06,0.0234113712374582
"94",NA,"Afghanistan","AFG",0,0,38928341,0,0,NA
"95",NA,"Afghanistan","AFG",0,1,38928341,0,2.56882254499363e-08,0
"96",NA,"Afghanistan","AFG",0,1,38928341,0,2.56882254499363e-08,0
"97",NA,"Afghanistan","AFG",0,34,38928341,0,8.73399665297835e-07,0
"98",NA,"Afghanistan","AFG",0,1,38928341,0,2.56882254499363e-08,0
"99",NA,"Afghanistan","AFG",0,1,38928341,0,2.56882254499363e-08,0
"100",NA,"Afghanistan","AFG",0,1,38928341,0,2.56882254499363e-08,0
"101",NA,"Afghanistan","AFG",7,337,38928341,1.79817578149554e-07,8.65693197662854e-06,0.0207715133531157
"102",NA,"Afghanistan","AFG",0,1,38928341,0,2.56882254499363e-08,0
"103",NA,"Afghanistan","AFG",33,996,38928341,8.47711439847899e-07,2.55854725481366e-05,0.0331325301204819
"104",NA,"Afghanistan","AFG",30,908,38928341,7.7064676349809e-07,2.33249087085422e-05,0.0330396475770925
"105",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"106",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"107",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"108",NA,"Africa","",0,0,1340598113,0,0,NA
"109",NA,"Africa","",0,29,1340598113,0,2.16321354765326e-08,0
"110",NA,"Africa","",965,18329,1340598113,7.19827956374275e-07,1.36722555568747e-05,0.0526488079000491
"111",NA,"Africa","",0,43,1340598113,0,3.20752353617553e-08,0
"112",NA,"Africa","",379,8440,1340598113,2.82709632607099e-07,6.29569735937708e-06,0.0449052132701422
"113",NA,"Africa","",434,9175,1340598113,3.23736096441902e-07,6.84396010335127e-06,0.0473024523160763
"114",NA,"Africa","",477,9802,1340598113,3.55811331803657e-07,7.31166179106803e-06,0.0486635380534585
"115",NA,"Africa","",573,11446,1340598113,4.27421159588041e-07,8.5379800918756e-06,0.0500611567359776
"116",NA,"Africa","",0,20,1340598113,0,1.49187141217466e-08,0
"117",NA,"Africa","",0,11,1340598113,0,8.20529276696065e-09,0
"118",NA,"Africa","",911,17243,1340598113,6.7954742824556e-07,1.28621693800639e-05,0.0528330336948327
"119",NA,"Africa","",0,0,1340598113,0,0,NA
"120",NA,"Africa","",522,10524,1340598113,3.89378438577587e-07,7.85022737086308e-06,0.0496009122006842
"121",NA,"Africa","",0,0,1340598113,0,0,NA
"122",NA,"Africa","",0,0,1340598113,0,0,NA
"123",NA,"Africa","",0,0,1340598113,0,0,NA
"124",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"125",NA,"Africa","",0,0,1340598113,0,0,NA
"126",NA,"Africa","",0,9,1340598113,0,6.71342135478599e-09,0
"127",NA,"Africa","",256,6883,1340598113,1.90959540758357e-07,5.13427546499911e-06,0.0371930844108674
"128",NA,"Africa","",0,0,1340598113,0,0,NA
"129",NA,"Africa","",305,7508,1340598113,2.27510390356636e-07,5.60048528130369e-06,0.0406233351092168
"130",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"131",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"132",NA,"Africa","",0,0,1340598113,0,0,NA
"133",NA,"Africa","",0,0,1340598113,0,0,NA
"134",NA,"Africa","",0,0,1340598113,0,0,NA
"135",NA,"Africa","",835,15291,1340598113,6.22856314582922e-07,1.14061028817814e-05,0.0546072853312406
"136",NA,"Africa","",0,0,1340598113,0,0,NA
"137",NA,"Africa","",0,0,1340598113,0,0,NA
"138",NA,"Africa","",0,0,1340598113,0,0,NA
"139",NA,"Africa","",0,0,1340598113,0,0,NA
"140",NA,"Africa","",0,2,1340598113,0,1.49187141217466e-09,0
"141",NA,"Africa","",1016,19897,1340598113,7.57870677384729e-07,1.48418827440196e-05,0.0510629743177363
"142",NA,"Africa","",0,44,1340598113,0,3.28211710678426e-08,0
"143",NA,"Africa","",0,0,1340598113,0,0,NA
"144",NA,"Africa","",0,0,1340598113,0,0,NA
"145",NA,"Africa","",0,6,1340598113,0,4.47561423652399e-09,0
"146",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"147",NA,"Africa","",876,16281,1340598113,6.53439678532503e-07,1.21445792308079e-05,0.0538050488299244
"148",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"149",NA,"Africa","",166,5137,1340598113,1.23825327210497e-07,3.83187172217062e-06,0.032314580494452
"150",NA,"Africa","",0,0,1340598113,0,0,NA
"151",NA,"Africa","",224,6248,1340598113,1.67089598163562e-07,4.66060629163365e-06,0.0358514724711908
"152",NA,"Africa","",1057,21057,1340598113,7.8845404133431e-07,1.5707168163081e-05,0.0501970841050482
"153",NA,"Africa","",1,83,1340598113,7.45935706087332e-10,6.19126636052486e-08,0.0120481927710843
"154",NA,"Africa","",0,2,1340598113,0,1.49187141217466e-09,0
"155",NA,"Africa","",0,0,1340598113,0,0,NA
"156",NA,"Africa","",0,0,1340598113,0,0,NA
"157",NA,"Africa","",0,3,1340598113,0,2.237807118262e-09,0
"158",NA,"Africa","",0,5,1340598113,0,3.72967853043666e-09,0
"159",NA,"Africa","",789,14522,1340598113,5.88543272102905e-07,1.08324783238002e-05,0.0543313593168985
"160",NA,"Africa","",0,0,1340598113,0,0,NA
"161",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"162",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"163",NA,"Africa","",0,0,1340598113,0,0,NA
"164",NA,"Africa","",0,0,1340598113,0,0,NA
"165",NA,"Africa","",8,324,1340598113,5.96748564869866e-09,2.41683168772296e-07,0.0246913580246914
"166",NA,"Africa","",0,0,1340598113,0,0,NA
"167",NA,"Africa","",0,0,1340598113,0,0,NA
"168",NA,"Africa","",0,0,1340598113,0,0,NA
"169",NA,"Africa","",2,118,1340598113,1.49187141217466e-09,8.80204133183052e-08,0.0169491525423729
"170",NA,"Africa","",0,0,1340598113,0,0,NA
"171",NA,"Africa","",0,0,1340598113,0,0,NA
"172",NA,"Africa","",0,0,1340598113,0,0,NA
"173",NA,"Africa","",189,5626,1340598113,1.40981848450506e-07,4.19663428244733e-06,0.0335940277284038
"174",NA,"Africa","",1189,24617,1340598113,8.86917554537838e-07,1.83626992767519e-05,0.0482999553154324
"175",NA,"Africa","",0,0,1340598113,0,0,NA
"176",NA,"Africa","",0,0,1340598113,0,0,NA
"177",NA,"Africa","",6,239,1340598113,4.47561423652399e-09,1.78278633754872e-07,0.0251046025104603
"178",NA,"Africa","",0,0,1340598113,0,0,NA
"179",NA,"Africa","",0,0,1340598113,0,0,NA
"180",NA,"Africa","",1,95,1340598113,7.45935706087332e-10,7.08638920782965e-08,0.0105263157894737
"181",NA,"Africa","",0,0,1340598113,0,0,NA
"182",NA,"Africa","",0,0,1340598113,0,0,NA
"183",NA,"Africa","",44,1389,1340598113,3.28211710678426e-08,1.0361046957553e-06,0.0316774658027358
"184",NA,"Africa","",0,0,1340598113,0,0,NA
"185",NA,"Africa","",0,0,1340598113,0,0,NA
"186",NA,"Africa","",743,13666,1340598113,5.54230229622888e-07,1.01939573593895e-05,0.0543685057807698
